passenger-carry, t = 0, b = 263, origin = 1, dest = 2, val = 1.0
passenger-carry, t = 15, b = 205, origin = 1, dest = 0, val = 0.28252253285358575
passenger-carry, t = 15, b = 227, origin = 0, dest = 2, val = 0.14458842346654333
passenger-carry, t = 15, b = 239, origin = 1, dest = 0, val = 0.22597623601794584
passenger-carry, t = 15, b = 245, origin = 0, dest = 2, val = 0.18965435711628786
passenger-carry, t = 15, b = 255, origin = 1, dest = 0, val = 0.3252458973569772
passenger-carry, t = 15, b = 257, origin = 0, dest = 2, val = 0.2804216801029728
passenger-carry, t = 15, b = 257, origin = 1, dest = 0, val = 0.10015535175194945
passenger-carry, t = 16, b = 169, origin = 2, dest = 3, val = 0.17905612603071147
passenger-carry, t = 16, b = 203, origin = 0, dest = 0, val = 0.1943469844207381
passenger-carry, t = 16, b = 213, origin = 3, dest = 0, val = 0.13886790558179704
passenger-carry, t = 16, b = 225, origin = 2, dest = 3, val = 0.16817367108921855
passenger-carry, t = 16, b = 251, origin = 3, dest = 0, val = 0.3218231355077864
passenger-carry, t = 16, b = 255, origin = 2, dest = 3, val = 0.22504310819849976
passenger-carry, t = 16, b = 257, origin = 2, dest = 3, val = 0.2631825390782011
passenger-carry, t = 16, b = 263, origin = 0, dest = 0, val = 0.3283321630003278
passenger-carry, t = 16, b = 263, origin = 2, dest = 3, val = 0.16454455560336917
passenger-carry, t = 16, b = 263, origin = 3, dest = 0, val = 0.5393089589104165
passenger-carry, t = 17, b = 157, origin = 0, dest = 0, val = 0.13583325663642926
passenger-carry, t = 17, b = 173, origin = 0, dest = 0, val = 0.28252253285358575
passenger-carry, t = 17, b = 197, origin = 0, dest = 0, val = 0.1943469844207381
passenger-carry, t = 17, b = 207, origin = 0, dest = 0, val = 0.22597623601794584
passenger-carry, t = 17, b = 223, origin = 0, dest = 0, val = 0.3252458973569772
passenger-carry, t = 17, b = 225, origin = 0, dest = 0, val = 0.10015535175194945
passenger-carry, t = 17, b = 257, origin = 0, dest = 0, val = 0.3283321630003278
passenger-carry, t = 18, b = 165, origin = 0, dest = 0, val = 0.2801200732474065
passenger-carry, t = 18, b = 167, origin = 0, dest = 0, val = 0.28252253285358575
passenger-carry, t = 18, b = 173, origin = 0, dest = 0, val = 0.13886790558179704
passenger-carry, t = 18, b = 191, origin = 0, dest = 0, val = 0.1943469844207381
passenger-carry, t = 18, b = 201, origin = 0, dest = 0, val = 0.22597623601794584
passenger-carry, t = 18, b = 211, origin = 0, dest = 0, val = 0.3218231355077864
passenger-carry, t = 18, b = 217, origin = 0, dest = 0, val = 0.3252458973569772
passenger-carry, t = 18, b = 219, origin = 0, dest = 0, val = 0.10015535175194945
passenger-carry, t = 18, b = 223, origin = 0, dest = 0, val = 0.5393089589104165
passenger-carry, t = 18, b = 251, origin = 0, dest = 0, val = 0.3283321630003278
passenger-carry, t = 19, b = 99, origin = 1, dest = 1, val = 0.10368534121666717
passenger-carry, t = 19, b = 159, origin = 0, dest = 0, val = 0.2801200732474065
passenger-carry, t = 19, b = 161, origin = 0, dest = 0, val = 0.28252253285358575
passenger-carry, t = 19, b = 185, origin = 0, dest = 0, val = 0.1943469844207381
passenger-carry, t = 19, b = 185, origin = 1, dest = 1, val = 0.15630438764523322
passenger-carry, t = 19, b = 195, origin = 0, dest = 0, val = 0.22597623601794584
passenger-carry, t = 19, b = 205, origin = 0, dest = 0, val = 0.3218231355077864
passenger-carry, t = 19, b = 211, origin = 0, dest = 0, val = 0.3252458973569772
passenger-carry, t = 19, b = 217, origin = 0, dest = 0, val = 0.5393089589104165
passenger-carry, t = 19, b = 227, origin = 1, dest = 1, val = 0.27493291010981463
passenger-carry, t = 19, b = 239, origin = 1, dest = 1, val = 0.10705128869845984
passenger-carry, t = 19, b = 245, origin = 0, dest = 0, val = 0.3283321630003278
passenger-carry, t = 19, b = 249, origin = 3, dest = 0, val = 0.10867810231516661
passenger-carry, t = 19, b = 263, origin = 1, dest = 1, val = 0.25824646423623787
passenger-carry, t = 19, b = 263, origin = 3, dest = 0, val = 0.8913218976848334
passenger-carry, t = 21, b = 263, origin = 2, dest = 0, val = 0.6223153904162201
passenger-carry, t = 22, b = 153, origin = 0, dest = 0, val = 0.2801200732474065
passenger-carry, t = 22, b = 155, origin = 0, dest = 0, val = 0.28252253285358575
passenger-carry, t = 22, b = 223, origin = 0, dest = 0, val = 0.3825950241038878
passenger-carry, t = 22, b = 223, origin = 2, dest = 0, val = 0.29456585206723235
passenger-carry, t = 24, b = 91, origin = 2, dest = 1, val = 0.27526518593312627
passenger-carry, t = 24, b = 113, origin = 2, dest = 1, val = 0.13583325663642926
passenger-carry, t = 24, b = 147, origin = 3, dest = 1, val = 0.1540999738989096
passenger-carry, t = 24, b = 149, origin = 0, dest = 0, val = 0.28252253285358575
passenger-carry, t = 24, b = 167, origin = 2, dest = 0, val = 0.19014321394514225
passenger-carry, t = 24, b = 177, origin = 2, dest = 1, val = 0.15630438764523322
passenger-carry, t = 24, b = 185, origin = 2, dest = 0, val = 0.17183438712816046
passenger-carry, t = 24, b = 189, origin = 0, dest = 0, val = 0.29456585206723235
passenger-carry, t = 24, b = 189, origin = 2, dest = 0, val = 0.14458842346654333
passenger-carry, t = 24, b = 203, origin = 1, dest = 0, val = 0.1334852199104619
passenger-carry, t = 24, b = 205, origin = 0, dest = 0, val = 0.13510268341183493
passenger-carry, t = 24, b = 207, origin = 2, dest = 1, val = 0.18965435711628786
passenger-carry, t = 24, b = 209, origin = 0, dest = 0, val = 0.10867810231516661
passenger-carry, t = 24, b = 213, origin = 3, dest = 1, val = 0.16817367108921855
passenger-carry, t = 24, b = 217, origin = 0, dest = 0, val = 0.3825950241038878
passenger-carry, t = 24, b = 219, origin = 1, dest = 0, val = 0.1355738461724794
passenger-carry, t = 24, b = 219, origin = 2, dest = 1, val = 0.5553545902127874
passenger-carry, t = 24, b = 221, origin = 1, dest = 0, val = 0.19648814248861657
passenger-carry, t = 24, b = 223, origin = 0, dest = 0, val = 0.22658800359291675
passenger-carry, t = 24, b = 225, origin = 2, dest = 1, val = 0.17589176391210806
passenger-carry, t = 24, b = 229, origin = 0, dest = 0, val = 0.3325453320858014
passenger-carry, t = 24, b = 243, origin = 1, dest = 0, val = 0.20116208936004698
passenger-carry, t = 24, b = 243, origin = 3, dest = 1, val = 0.22504310819849976
passenger-carry, t = 24, b = 245, origin = 3, dest = 1, val = 0.2631825390782011
passenger-carry, t = 24, b = 251, origin = 3, dest = 1, val = 0.16454455560336917
passenger-carry, t = 24, b = 257, origin = 1, dest = 0, val = 0.19820583619410428
passenger-carry, t = 24, b = 257, origin = 2, dest = 0, val = 0.26998006891323806
passenger-carry, t = 24, b = 257, origin = 2, dest = 1, val = 0.3913721972846093
passenger-carry, t = 24, b = 263, origin = 2, dest = 0, val = 0.12645125046530759
passenger-carry, t = 25, b = 77, origin = 2, dest = 1, val = 0.10368534121666717
passenger-carry, t = 25, b = 151, origin = 2, dest = 0, val = 0.22597623601794584
passenger-carry, t = 25, b = 173, origin = 2, dest = 0, val = 0.2123217703742192
passenger-carry, t = 25, b = 175, origin = 2, dest = 0, val = 0.10015535175194945
passenger-carry, t = 25, b = 213, origin = 2, dest = 0, val = 0.2046327473981262
passenger-carry, t = 25, b = 231, origin = 2, dest = 0, val = 0.10705128869845984
passenger-carry, t = 25, b = 261, origin = 1, dest = 3, val = 0.11835004896124632
passenger-carry, t = 26, b = 107, origin = 1, dest = 3, val = 0.13583325663642926
passenger-carry, t = 26, b = 133, origin = 2, dest = 1, val = 0.1540999738989096
passenger-carry, t = 26, b = 151, origin = 0, dest = 2, val = 0.17183438712816046
passenger-carry, t = 26, b = 155, origin = 0, dest = 2, val = 0.14458842346654333
passenger-carry, t = 26, b = 165, origin = 2, dest = 0, val = 0.15630438764523322
passenger-carry, t = 26, b = 169, origin = 2, dest = 0, val = 0.13842378753081847
passenger-carry, t = 26, b = 173, origin = 2, dest = 0, val = 0.24424631827818644
passenger-carry, t = 26, b = 181, origin = 2, dest = 0, val = 0.22774611999348493
passenger-carry, t = 26, b = 185, origin = 2, dest = 0, val = 0.11030448285986838
passenger-carry, t = 26, b = 191, origin = 2, dest = 0, val = 0.2897700583304187
passenger-carry, t = 26, b = 199, origin = 2, dest = 0, val = 0.16817367108921855
passenger-carry, t = 26, b = 201, origin = 2, dest = 0, val = 0.19484694308986594
passenger-carry, t = 26, b = 207, origin = 2, dest = 0, val = 0.19963786003685935
passenger-carry, t = 26, b = 213, origin = 1, dest = 3, val = 0.35571673017592803
passenger-carry, t = 26, b = 213, origin = 2, dest = 0, val = 0.17589176391210806
passenger-carry, t = 26, b = 225, origin = 0, dest = 2, val = 0.19820583619410428
passenger-carry, t = 26, b = 229, origin = 2, dest = 0, val = 0.22504310819849976
passenger-carry, t = 26, b = 245, origin = 2, dest = 0, val = 0.3913721972846093
passenger-carry, t = 27, b = 85, origin = 1, dest = 3, val = 0.27526518593312627
passenger-carry, t = 27, b = 117, origin = 0, dest = 2, val = 0.22597623601794584
passenger-carry, t = 27, b = 141, origin = 2, dest = 0, val = 0.1943469844207381
passenger-carry, t = 27, b = 179, origin = 0, dest = 2, val = 0.2046327473981262
passenger-carry, t = 27, b = 201, origin = 2, dest = 1, val = 0.23060994454680778
passenger-carry, t = 27, b = 231, origin = 2, dest = 1, val = 0.20739181237624787
passenger-carry, t = 28, b = 79, origin = 3, dest = 1, val = 0.27526518593312627
passenger-carry, t = 28, b = 105, origin = 2, dest = 1, val = 0.28252253285358575
passenger-carry, t = 28, b = 121, origin = 2, dest = 1, val = 0.1540999738989096
passenger-carry, t = 28, b = 125, origin = 3, dest = 1, val = 0.13886790558179704
passenger-carry, t = 28, b = 131, origin = 0, dest = 0, val = 0.15630438764523322
passenger-carry, t = 28, b = 135, origin = 0, dest = 0, val = 0.13842378753081847
passenger-carry, t = 28, b = 139, origin = 0, dest = 0, val = 0.24424631827818644
passenger-carry, t = 28, b = 141, origin = 0, dest = 0, val = 0.10015535175194945
passenger-carry, t = 28, b = 145, origin = 2, dest = 0, val = 0.29456585206723235
passenger-carry, t = 28, b = 147, origin = 0, dest = 0, val = 0.22774611999348493
passenger-carry, t = 28, b = 151, origin = 0, dest = 2, val = 0.11030448285986838
passenger-carry, t = 28, b = 157, origin = 0, dest = 0, val = 0.151758393061921
passenger-carry, t = 28, b = 157, origin = 0, dest = 2, val = 0.13801166526849767
passenger-carry, t = 28, b = 157, origin = 2, dest = 1, val = 0.3218231355077864
passenger-carry, t = 28, b = 161, origin = 2, dest = 0, val = 0.13510268341183493
passenger-carry, t = 28, b = 165, origin = 0, dest = 0, val = 0.16817367108921855
passenger-carry, t = 28, b = 165, origin = 2, dest = 0, val = 0.10867810231516661
passenger-carry, t = 28, b = 167, origin = 0, dest = 0, val = 0.19484694308986594
passenger-carry, t = 28, b = 173, origin = 0, dest = 2, val = 0.19963786003685935
passenger-carry, t = 28, b = 173, origin = 2, dest = 0, val = 0.3825950241038878
passenger-carry, t = 28, b = 179, origin = 0, dest = 2, val = 0.17589176391210806
passenger-carry, t = 28, b = 179, origin = 2, dest = 0, val = 0.22658800359291675
passenger-carry, t = 28, b = 179, origin = 3, dest = 1, val = 0.16049154336067473
passenger-carry, t = 28, b = 185, origin = 2, dest = 0, val = 0.3325453320858014
passenger-carry, t = 28, b = 193, origin = 2, dest = 0, val = 0.35571673017592803
passenger-carry, t = 28, b = 195, origin = 0, dest = 2, val = 0.22504310819849976
passenger-carry, t = 28, b = 211, origin = 0, dest = 0, val = 0.3913721972846093
passenger-carry, t = 28, b = 263, origin = 3, dest = 1, val = 0.10262854243144867
passenger-carry, t = 29, b = 65, origin = 2, dest = 1, val = 0.10368534121666717
passenger-carry, t = 29, b = 87, origin = 2, dest = 1, val = 0.13583325663642926
passenger-carry, t = 29, b = 105, origin = 3, dest = 1, val = 0.2253577034522866
passenger-carry, t = 29, b = 107, origin = 0, dest = 2, val = 0.1943469844207381
passenger-carry, t = 29, b = 113, origin = 2, dest = 1, val = 0.17183438712816046
passenger-carry, t = 29, b = 117, origin = 2, dest = 1, val = 0.14458842346654333
passenger-carry, t = 29, b = 133, origin = 0, dest = 2, val = 0.24424631827818644
passenger-carry, t = 29, b = 133, origin = 2, dest = 1, val = 0.1334852199104619
passenger-carry, t = 29, b = 135, origin = 0, dest = 2, val = 0.10015535175194945
passenger-carry, t = 29, b = 141, origin = 0, dest = 2, val = 0.22774611999348493
passenger-carry, t = 29, b = 149, origin = 2, dest = 1, val = 0.1355738461724794
passenger-carry, t = 29, b = 161, origin = 0, dest = 2, val = 0.19484694308986594
passenger-carry, t = 29, b = 173, origin = 2, dest = 1, val = 0.20116208936004698
passenger-carry, t = 29, b = 185, origin = 2, dest = 1, val = 0.26998006891323806
passenger-carry, t = 29, b = 189, origin = 3, dest = 1, val = 0.23060994454680778
passenger-carry, t = 29, b = 191, origin = 2, dest = 1, val = 0.12645125046530759
passenger-carry, t = 29, b = 195, origin = 3, dest = 1, val = 0.18965435711628786
passenger-carry, t = 29, b = 219, origin = 2, dest = 1, val = 0.20739181237624787
passenger-carry, t = 29, b = 241, origin = 2, dest = 1, val = 0.11835004896124632
passenger-carry, t = 30, b = 33, origin = 1, dest = 1, val = 0.2399908044298989
passenger-carry, t = 30, b = 65, origin = 2, dest = 1, val = 0.27526518593312627
passenger-carry, t = 30, b = 79, origin = 2, dest = 1, val = 0.22597623601794584
passenger-carry, t = 30, b = 91, origin = 3, dest = 1, val = 0.19014321394514225
passenger-carry, t = 30, b = 93, origin = 3, dest = 1, val = 0.28252253285358575
passenger-carry, t = 30, b = 101, origin = 2, dest = 1, val = 0.2123217703742192
passenger-carry, t = 30, b = 109, origin = 3, dest = 0, val = 0.1540999738989096
passenger-carry, t = 30, b = 111, origin = 3, dest = 1, val = 0.13886790558179704
passenger-carry, t = 30, b = 117, origin = 2, dest = 1, val = 0.17905612603071147
passenger-carry, t = 30, b = 141, origin = 2, dest = 1, val = 0.2046327473981262
passenger-carry, t = 30, b = 145, origin = 3, dest = 1, val = 0.3218231355077864
passenger-carry, t = 30, b = 159, origin = 2, dest = 1, val = 0.10705128869845984
passenger-carry, t = 30, b = 171, origin = 1, dest = 1, val = 0.20424201603409392
passenger-carry, t = 30, b = 181, origin = 1, dest = 1, val = 0.23060994454680778
passenger-carry, t = 30, b = 187, origin = 2, dest = 1, val = 0.19820583619410428
passenger-carry, t = 30, b = 255, origin = 1, dest = 1, val = 0.10262854243144867
passenger-carry, t = 31, b = 53, origin = 2, dest = 1, val = 0.10368534121666717
passenger-carry, t = 31, b = 91, origin = 3, dest = 1, val = 0.2253577034522866
passenger-carry, t = 31, b = 105, origin = 2, dest = 1, val = 0.14458842346654333
passenger-carry, t = 31, b = 127, origin = 0, dest = 1, val = 0.13510268341183493
passenger-carry, t = 31, b = 137, origin = 3, dest = 0, val = 0.1355738461724794
passenger-carry, t = 31, b = 145, origin = 0, dest = 1, val = 0.22658800359291675
passenger-carry, t = 31, b = 151, origin = 0, dest = 1, val = 0.19985171256130982
passenger-carry, t = 31, b = 159, origin = 0, dest = 1, val = 0.35571673017592803
passenger-carry, t = 31, b = 161, origin = 3, dest = 1, val = 0.20116208936004698
passenger-carry, t = 31, b = 173, origin = 3, dest = 0, val = 0.26998006891323806
passenger-carry, t = 31, b = 179, origin = 3, dest = 0, val = 0.12645125046530759
passenger-carry, t = 31, b = 181, origin = 3, dest = 0, val = 0.16357103711409504
passenger-carry, t = 31, b = 229, origin = 2, dest = 1, val = 0.11835004896124632
passenger-carry, t = 32, b = 35, origin = 3, dest = 1, val = 0.22115156871641178
passenger-carry, t = 32, b = 53, origin = 3, dest = 1, val = 0.27526518593312627
passenger-carry, t = 32, b = 67, origin = 2, dest = 1, val = 0.22597623601794584
passenger-carry, t = 32, b = 75, origin = 3, dest = 1, val = 0.13583325663642926
passenger-carry, t = 32, b = 77, origin = 2, dest = 1, val = 0.19014321394514225
passenger-carry, t = 32, b = 79, origin = 2, dest = 1, val = 0.28252253285358575
passenger-carry, t = 32, b = 89, origin = 2, dest = 1, val = 0.2123217703742192
passenger-carry, t = 32, b = 97, origin = 2, dest = 0, val = 0.13886790558179704
passenger-carry, t = 32, b = 101, origin = 3, dest = 1, val = 0.17183438712816046
passenger-carry, t = 32, b = 105, origin = 3, dest = 1, val = 0.17905612603071147
passenger-carry, t = 32, b = 113, origin = 2, dest = 0, val = 0.11030448285986838
passenger-carry, t = 32, b = 119, origin = 2, dest = 0, val = 0.13801166526849767
passenger-carry, t = 32, b = 121, origin = 2, dest = 0, val = 0.1334852199104619
passenger-carry, t = 32, b = 129, origin = 2, dest = 1, val = 0.2046327473981262
passenger-carry, t = 32, b = 131, origin = 3, dest = 1, val = 0.3218231355077864
passenger-carry, t = 32, b = 135, origin = 2, dest = 1, val = 0.19963786003685935
passenger-carry, t = 32, b = 135, origin = 3, dest = 1, val = 0.19648814248861657
passenger-carry, t = 32, b = 141, origin = 2, dest = 1, val = 0.17589176391210806
passenger-carry, t = 32, b = 147, origin = 2, dest = 1, val = 0.10705128869845984
passenger-carry, t = 32, b = 155, origin = 2, dest = 1, val = 0.14743896297176595
passenger-carry, t = 32, b = 157, origin = 2, dest = 0, val = 0.12821710392473773
passenger-carry, t = 32, b = 163, origin = 2, dest = 1, val = 0.20424201603409392
passenger-carry, t = 32, b = 173, origin = 2, dest = 0, val = 0.11330042107766738
passenger-carry, t = 32, b = 173, origin = 2, dest = 1, val = 0.11730952346914039
passenger-carry, t = 32, b = 175, origin = 2, dest = 0, val = 0.19820583619410428
passenger-carry, t = 33, b = 25, origin = 3, dest = 1, val = 0.2399908044298989
passenger-carry, t = 33, b = 41, origin = 2, dest = 1, val = 0.10368534121666717
passenger-carry, t = 33, b = 69, origin = 2, dest = 1, val = 0.1943469844207381
passenger-carry, t = 33, b = 77, origin = 2, dest = 1, val = 0.2253577034522866
passenger-carry, t = 33, b = 87, origin = 2, dest = 1, val = 0.15630438764523322
passenger-carry, t = 33, b = 91, origin = 2, dest = 1, val = 0.13842378753081847
passenger-carry, t = 33, b = 93, origin = 2, dest = 1, val = 0.14458842346654333
passenger-carry, t = 33, b = 95, origin = 2, dest = 1, val = 0.24424631827818644
passenger-carry, t = 33, b = 97, origin = 2, dest = 1, val = 0.10015535175194945
passenger-carry, t = 33, b = 103, origin = 2, dest = 1, val = 0.22774611999348493
passenger-carry, t = 33, b = 113, origin = 2, dest = 1, val = 0.151758393061921
passenger-carry, t = 33, b = 121, origin = 2, dest = 1, val = 0.16817367108921855
passenger-carry, t = 33, b = 123, origin = 2, dest = 1, val = 0.19484694308986594
passenger-carry, t = 33, b = 147, origin = 3, dest = 1, val = 0.20116208936004698
passenger-carry, t = 33, b = 163, origin = 3, dest = 1, val = 0.3913721972846093
passenger-carry, t = 33, b = 207, origin = 2, dest = 1, val = 0.20739181237624787
passenger-carry, t = 33, b = 217, origin = 2, dest = 1, val = 0.11835004896124632
passenger-carry, t = 33, b = 247, origin = 3, dest = 1, val = 0.10262854243144867
passenger-carry, t = 34, b = 21, origin = 2, dest = 1, val = 0.22115156871641178
passenger-carry, t = 34, b = 39, origin = 2, dest = 1, val = 0.27526518593312627
passenger-carry, t = 34, b = 55, origin = 2, dest = 1, val = 0.22597623601794584
passenger-carry, t = 34, b = 61, origin = 2, dest = 1, val = 0.13583325663642926
passenger-carry, t = 34, b = 65, origin = 3, dest = 1, val = 0.19014321394514225
passenger-carry, t = 34, b = 67, origin = 2, dest = 1, val = 0.28252253285358575
passenger-carry, t = 34, b = 69, origin = 0, dest = 1, val = 0.1540999738989096
passenger-carry, t = 34, b = 77, origin = 2, dest = 1, val = 0.2123217703742192
passenger-carry, t = 34, b = 87, origin = 2, dest = 0, val = 0.17183438712816046
passenger-carry, t = 34, b = 91, origin = 2, dest = 1, val = 0.17905612603071147
passenger-carry, t = 34, b = 97, origin = 0, dest = 1, val = 0.1355738461724794
passenger-carry, t = 34, b = 117, origin = 2, dest = 1, val = 0.5264558829059126
passenger-carry, t = 34, b = 121, origin = 2, dest = 0, val = 0.10635049570221908
passenger-carry, t = 34, b = 123, origin = 2, dest = 1, val = 0.19963786003685935
passenger-carry, t = 34, b = 129, origin = 2, dest = 0, val = 0.17589176391210806
passenger-carry, t = 34, b = 133, origin = 0, dest = 1, val = 0.26998006891323806
passenger-carry, t = 34, b = 135, origin = 2, dest = 1, val = 0.10705128869845984
passenger-carry, t = 34, b = 139, origin = 0, dest = 1, val = 0.12645125046530759
passenger-carry, t = 34, b = 141, origin = 0, dest = 1, val = 0.16357103711409504
passenger-carry, t = 34, b = 143, origin = 2, dest = 0, val = 0.14743896297176595
passenger-carry, t = 34, b = 151, origin = 2, dest = 1, val = 0.15021912188209893
passenger-carry, t = 34, b = 161, origin = 2, dest = 1, val = 0.11730952346914039
passenger-carry, t = 35, b = 11, origin = 2, dest = 1, val = 0.2399908044298989
passenger-carry, t = 35, b = 29, origin = 2, dest = 1, val = 0.10368534121666717
passenger-carry, t = 35, b = 57, origin = 2, dest = 1, val = 0.1943469844207381
passenger-carry, t = 35, b = 63, origin = 0, dest = 1, val = 0.13886790558179704
passenger-carry, t = 35, b = 65, origin = 3, dest = 1, val = 0.2253577034522866
passenger-carry, t = 35, b = 73, origin = 2, dest = 1, val = 0.29456585206723235
passenger-carry, t = 35, b = 75, origin = 2, dest = 1, val = 0.15630438764523322
passenger-carry, t = 35, b = 79, origin = 0, dest = 1, val = 0.11030448285986838
passenger-carry, t = 35, b = 79, origin = 2, dest = 1, val = 0.13842378753081847
passenger-carry, t = 35, b = 81, origin = 2, dest = 1, val = 0.14458842346654333
passenger-carry, t = 35, b = 83, origin = 2, dest = 1, val = 0.24424631827818644
passenger-carry, t = 35, b = 85, origin = 0, dest = 1, val = 0.13801166526849767
passenger-carry, t = 35, b = 85, origin = 2, dest = 1, val = 0.10015535175194945
passenger-carry, t = 35, b = 87, origin = 0, dest = 1, val = 0.1334852199104619
passenger-carry, t = 35, b = 91, origin = 2, dest = 1, val = 0.22774611999348493
passenger-carry, t = 35, b = 93, origin = 2, dest = 1, val = 0.10867810231516661
passenger-carry, t = 35, b = 101, origin = 2, dest = 1, val = 0.5343534171658088
passenger-carry, t = 35, b = 109, origin = 2, dest = 1, val = 0.16817367108921855
passenger-carry, t = 35, b = 111, origin = 2, dest = 1, val = 0.19484694308986594
passenger-carry, t = 35, b = 113, origin = 2, dest = 1, val = 0.13269361952449155
passenger-carry, t = 35, b = 123, origin = 0, dest = 1, val = 0.12821710392473773
passenger-carry, t = 35, b = 133, origin = 3, dest = 1, val = 0.20116208936004698
passenger-carry, t = 35, b = 139, origin = 0, dest = 1, val = 0.11330042107766738
passenger-carry, t = 35, b = 141, origin = 0, dest = 1, val = 0.19820583619410428
passenger-carry, t = 35, b = 149, origin = 3, dest = 1, val = 0.3913721972846093
passenger-carry, t = 35, b = 195, origin = 2, dest = 1, val = 0.20739181237624787
passenger-carry, t = 35, b = 205, origin = 2, dest = 1, val = 0.11835004896124632
passenger-carry, t = 35, b = 233, origin = 2, dest = 1, val = 0.10262854243144867
passenger-carry, t = 36, b = 5, origin = 1, dest = 1, val = 0.2399908044298989
passenger-carry, t = 36, b = 15, origin = 1, dest = 1, val = 0.22115156871641178
passenger-carry, t = 36, b = 23, origin = 1, dest = 1, val = 0.10368534121666717
